YEAR,NAME,PLATFORM,GENRE,PUBLISHER,EU_SALES,GLOBAL_SALES
1992,The 7th Guest,PC,Adventure,Virgin Interactive,0.77,0.78
1994,Star Wars: Dark Forces,PC,Shooter,LucasArts,0.77,1.95
1996,Diablo,PC,Role-Playing,Activision,1.58,1.59
1997,Tenchu: Stealth Assassins,PS,Action,Activision,0.64,1.99
1997,Time Crisis,PS,Shooter,Namco Bandai Games,0.87,1.68
1998,FIFA 2000,PS,Sports,Electronic Arts,1.47,1.87
1998,Toy Story 2: Buzz Lightyear to the Rescue!,PS,Platform,Activision,0.64,1.71
1998,F-1 World Grand Prix,N64,Racing,Video System,0.96,1.6
1998,TOCA 2: Touring Cars,PS,Racing,Codemasters,1.16,1.32
1998,Brian Lara Cricket,PS,Sports,Codemasters,1.13,1.26
1999,NFL GameDay 2000,PS,Sports,989 Studios,0.68,1.8
1999,Star Wars Episode I: The Phantom Menace,PS,Adventure,LucasArts,0.89,1.74
1999,Jampack Winter '99,PS,Misc,Sony Computer Entertainment,0.64,1.69
1999,Tom Clancy's Rainbow Six,PS,Shooter,Red Storm Entertainment,0.63,1.64
1999,Rugrats Studio Tour,PS,Adventure,THQ,0.67,1.31
1999,Championship Manager 99/00,PC,Sports,Eidos Interactive,0.98,1.07
1999,Worms Armageddon,PS,Strategy,Microprose,0.81,1.06
2000,Colin McRae Rally 2.0,PS,Racing,Codemasters,0.8,0.91
2001,Scooby Doo and the Cyber Chase,PS,Adventure,THQ,1.23,1.94
2001,Red Faction,PS2,Shooter,THQ,0.96,1.92
2001,Star Wars Rogue Leader: Rogue Squadron II,GC,Simulation,LucasArts,0.75,1.9
2001,NBA Live 2002,PS2,Sports,Electronic Arts,0.71,1.86
2001,Gran Turismo Concept 2001 Tokyo,PS2,Racing,Unknown,1.1,1.84
2001,Star Wars: Starfighter,PS2,Simulation,Activision,0.87,1.76
2001,Pro Evolution Soccer,PS2,Sports,Konami Digital Entertainment,0.9,1.75
2001,SSX Tricky,PS2,Sports,Electronic Arts,0.66,1.73
2001,Harry Potter and the Sorcerer's Stone,GBA,Action,Electronic Arts,0.66,1.69
2001,"Monsters, Inc.",GBA,Adventure,THQ,0.95,1.67
2001,Spider-Man 2: Enter: Electro,PS,Action,Activision,0.87,1.55
2001,Simpsons Wrestling,PS,Fighting,Electronic Arts,1.16,1.51
