NAME,PLATFORM,YEAR,GENRE,PUBLISHER,GLOBAL_SALES,SALES_TIER
Wii Sports,Wii,2006.0,Sports,Nintendo,82.74,1
Super Mario Bros.,NES,1985.0,Platform,Nintendo,40.24,1
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,35.82,1
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,33.0,1
Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,31.37,1
Tetris,GB,1989.0,Puzzle,Nintendo,30.26,1
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,30.01,1
Wii Play,Wii,2006.0,Misc,Nintendo,29.02,1
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,28.62,1
Duck Hunt,NES,1984.0,Shooter,Nintendo,28.31,1
Nintendogs,DS,2005.0,Simulation,Nintendo,24.76,1
Mario Kart DS,DS,2005.0,Racing,Nintendo,23.42,1
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,23.1,1
Wii Fit,Wii,2007.0,Sports,Nintendo,22.72,1
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,22.0,1
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,21.82,1
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,21.4,1
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,20.81,1
Super Mario World,SNES,1990.0,Platform,Nintendo,20.61,1
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,20.22,1
Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,18.36,1
Super Mario Land,GB,1989.0,Platform,Nintendo,18.14,1
Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,17.28,1
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,16.38,1
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,16.15,1
Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,15.85,1
Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,15.32,1
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,15.3,1
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,14.98,1
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,14.76,1
Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,14.64,1
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,14.64,1
Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,14.35,1
Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,14.24,1
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,14.03,1
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,13.73,1
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,13.51,1
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,13.46,1
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,13.1,1
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,13.04,1
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,12.73,1
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,12.27,1
Mario Kart 7,3DS,2011.0,Racing,Nintendo,12.21,1
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,12.14,1
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,11.98,1
Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,11.9,1
Super Mario 64,N64,1996.0,Platform,Nintendo,11.89,1
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,11.66,1
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,11.52,1
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,11.33,1
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,11.18,2
