NAME,PLATFORM,YEAR,GENRE,PUBLISHER,NA_PERCENT,EU_PERCENT,JP_PERCENT,OTHER_PERCENT
Wii Sports,Wii,2006.0,Sports,Nintendo,50.15,35.07,4.56,10.22
Super Mario Bros.,NES,1985.0,Platform,Nintendo,72.27,8.9,16.92,1.91
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,44.25,35.96,10.58,9.24
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,47.73,33.36,9.94,8.97
Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,35.93,28.34,32.58,3.19
Tetris,GB,1989.0,Puzzle,Nintendo,76.67,7.47,13.95,1.92
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,37.92,30.76,21.66,9.66
Wii Play,Wii,2006.0,Misc,Nintendo,48.35,31.7,10.1,9.82
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,50.98,24.67,16.42,7.9
Duck Hunt,NES,1984.0,Shooter,Nintendo,95.13,2.23,0.99,1.66
Nintendogs,DS,2005.0,Simulation,Nintendo,36.63,44.43,7.79,11.11
Mario Kart DS,DS,2005.0,Racing,Nintendo,41.89,32.32,17.63,8.2
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,38.96,26.75,31.17,3.07
Wii Fit,Wii,2007.0,Sports,Nintendo,39.35,35.34,15.85,9.46
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,41.32,39.05,11.5,8.14
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,68.61,22.64,1.1,7.65
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,32.76,43.32,4.53,19.35
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,45.31,1.92,1.97,50.79
Super Mario World,SNES,1990.0,Platform,Nintendo,62.01,18.2,17.18,2.67
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,23.49,45.8,20.57,10.14
Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,34.97,24.62,32.9,7.46
Super Mario Land,GB,1989.0,Platform,Nintendo,59.7,14.94,23.04,2.32
Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,55.21,19.91,22.22,2.66
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,58.79,32.42,0.37,8.42
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,52.07,33.99,2.91,11.02
Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,38.23,24.61,33.94,3.15
Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,36.36,21.41,36.88,5.35
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,22.48,35.03,34.77,7.71
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,45.73,33.98,12.48,7.74
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,61.18,29.0,0.88,8.94
