YEAR,GENRE,CURR_SALES,PREV_GLOBAL_SALES,PERCENTAGE_CHANGE
1980,Action,0.34,0.0,
1981,Action,14.84,0.34,4264.71
1982,Action,6.52,14.84,-56.06
1983,Action,2.86,6.52,-56.13
1984,Action,1.85,2.86,-35.31
1985,Action,3.52,1.85,90.27
1986,Action,13.74,3.52,290.34
1987,Action,1.12,13.74,-91.85
1988,Action,1.75,1.12,56.25
1989,Action,4.64,1.75,165.14
1990,Action,6.39,4.64,37.72
1991,Action,6.76,6.39,5.79
1992,Action,3.83,6.76,-43.34
1993,Action,1.81,3.83,-52.74
1994,Action,1.55,1.81,-14.36
1995,Action,3.57,1.55,130.32
1996,Action,20.58,3.57,476.47
1997,Action,27.58,20.58,34.01
1998,Action,39.44,27.58,43.0
1999,Action,27.78,39.44,-29.56
2000,Action,34.04,27.78,22.53
2001,Action,59.39,34.04,74.47
2002,Action,86.77,59.39,46.1
2003,Action,67.93,86.77,-21.71
2004,Action,76.26,67.93,12.26
2005,Action,85.69,76.26,12.37
2006,Action,66.58,85.69,-22.3
2007,Action,106.5,66.58,59.96
2008,Action,136.39,106.5,28.07
2009,Action,139.36,136.39,2.18
2010,Action,117.64,139.36,-15.59
2011,Action,118.96,117.64,1.12
2012,Action,122.04,118.96,2.59
2013,Action,125.22,122.04,2.61
2014,Action,99.02,125.22,-20.92
2015,Action,70.7,99.02,-28.6
2016,Action,19.91,70.7,-71.84
2017,Action,0.01,19.91,-99.95
1983,Adventure,0.4,0.0,
1987,Adventure,4.38,0.4,995.0
1991,Adventure,2.24,4.38,-48.86
1992,Adventure,12.24,2.24,446.43
1993,Adventure,0.07,12.24,-99.43
1994,Adventure,3.74,0.07,5242.86
1995,Adventure,0.72,3.74,-80.75
1996,Adventure,4.19,0.72,481.94
1997,Adventure,4.96,4.19,18.38
1998,Adventure,9.05,4.96,82.46
1999,Adventure,7.6,9.05,-16.02
2000,Adventure,2.98,7.6,-60.79
2001,Adventure,9.12,2.98,206.04
2002,Adventure,11.05,9.12,21.16
2003,Adventure,2.14,11.05,-80.63
2004,Adventure,8.7,2.14,306.54
2005,Adventure,8.53,8.7,-1.95
2006,Adventure,11.47,8.53,34.47
2007,Adventure,24.47,11.47,113.34
2008,Adventure,25.02,24.47,2.25
2009,Adventure,20.68,25.02,-17.35
2010,Adventure,16.57,20.68,-19.87
2011,Adventure,15.98,16.57,-3.56
2012,Adventure,5.99,15.98,-62.52
2013,Adventure,6.61,5.99,10.35
2014,Adventure,6.06,6.61,-8.32
2015,Adventure,8.03,6.06,32.51
2016,Adventure,1.81,8.03,-77.46
1980,Fighting,0.77,0.0,
1985,Fighting,1.05,0.77,36.36
1987,Fighting,5.42,1.05,416.19
1991,Fighting,0.39,5.42,-92.8
1992,Fighting,15.25,0.39,3810.26
1993,Fighting,8.75,15.25,-42.62
1994,Fighting,8.47,8.75,-3.2
1995,Fighting,14.85,8.47,75.32
1996,Fighting,18.06,14.85,21.62
1997,Fighting,11.76,18.06,-34.88
1998,Fighting,31.66,11.76,169.22
1999,Fighting,14.26,31.66,-54.96
2000,Fighting,20.22,14.26,41.8
2001,Fighting,18.12,20.22,-10.39
2002,Fighting,25.02,18.12,38.08
2003,Fighting,23.73,25.02,-5.16
2004,Fighting,16.78,23.73,-29.29
2005,Fighting,19.72,16.78,17.52
2006,Fighting,22.55,19.72,14.35
2007,Fighting,17.61,22.55,-21.91
2008,Fighting,35.38,17.61,100.91
2009,Fighting,32.15,35.38,-9.13
2010,Fighting,14.89,32.15,-53.69
2011,Fighting,22.68,14.89,52.32
2012,Fighting,9.51,22.68,-58.07
2013,Fighting,7.21,9.51,-24.19
2014,Fighting,16.15,7.21,123.99
2015,Fighting,7.78,16.15,-51.83
2016,Fighting,3.86,7.78,-50.39
1980,Misc,2.71,0.0,
1982,Misc,0.87,2.71,-67.9
1983,Misc,2.14,0.87,145.98
1984,Misc,1.45,2.14,-32.24
1989,Misc,1.28,1.45,-11.72
1991,Misc,0.08,1.28,-93.75
1992,Misc,4.94,0.08,6075.0
1993,Misc,0.3,4.94,-93.93
1994,Misc,2.86,0.3,853.33
1995,Misc,6.4,2.86,123.78
1996,Misc,10.68,6.4,66.87
1997,Misc,5.69,10.68,-46.72
1998,Misc,11.94,5.69,109.84
1999,Misc,20.65,11.94,72.95
2000,Misc,15.54,20.65,-24.75
2001,Misc,16.4,15.54,5.53
2002,Misc,15.67,16.4,-4.45
2003,Misc,23.82,15.67,52.01
2004,Misc,31.32,23.82,31.49
2005,Misc,61.24,31.32,95.53
2006,Misc,67.35,61.24,9.98
2007,Misc,92.27,67.35,37.0
2008,Misc,87.03,92.27,-5.68
2009,Misc,76.94,87.03,-11.59
2010,Misc,96.86,76.94,25.89
2011,Misc,56.08,96.86,-42.1
2012,Misc,22.92,56.08,-59.13
2013,Misc,25.65,22.92,11.91
2014,Misc,23.68,25.65,-7.68
2015,Misc,11.69,23.68,-50.63
2016,Misc,1.17,11.69,-89.99
1981,Platform,6.93,0.0,
1982,Platform,5.03,6.93,-27.42
1983,Platform,6.93,5.03,37.77
1984,Platform,0.69,6.93,-90.04
1985,Platform,43.17,0.69,6156.52
1986,Platform,9.39,43.17,-78.25
1987,Platform,1.74,9.39,-81.47
1988,Platform,27.73,1.74,1493.68
1989,Platform,20.66,27.73,-25.5
1990,Platform,22.97,20.66,11.18
1991,Platform,7.64,22.97,-66.74
1992,Platform,13.42,7.64,75.65
1993,Platform,18.67,13.42,39.12
1994,Platform,28.74,18.67,53.94
1995,Platform,16.69,28.74,-41.93
1996,Platform,28.23,16.69,69.14
1997,Platform,21.85,28.23,-22.6
1998,Platform,29.88,21.85,36.75
1999,Platform,20.82,29.88,-30.32
2000,Platform,16.06,20.82,-22.86
2001,Platform,39.28,16.06,144.58
2002,Platform,45.97,39.28,17.03
2003,Platform,42.89,45.97,-6.7
2004,Platform,47.34,42.89,10.38
2005,Platform,23.56,47.34,-50.23
2006,Platform,49.8,23.56,111.38
2007,Platform,35.59,49.8,-28.53
2008,Platform,35.7,35.59,0.31
2009,Platform,41.09,35.7,15.1
2010,Platform,31.9,41.09,-22.37
2011,Platform,28.11,31.9,-11.88
2012,Platform,18.55,28.11,-34.01
2013,Platform,25.12,18.55,35.42
2014,Platform,8.89,25.12,-64.61
2015,Platform,6.05,8.89,-31.95
2016,Platform,2.07,6.05,-65.79
1981,Puzzle,2.24,0.0,
1982,Puzzle,10.03,2.24,347.77
1983,Puzzle,0.78,10.03,-92.22
1984,Puzzle,3.14,0.78,302.56
1985,Puzzle,3.21,3.14,2.23
1988,Puzzle,5.58,3.21,73.83
1989,Puzzle,37.75,5.58,576.52
